City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,297.75,84,100,1.54,US,1682317927
1,victoria,22.2855,114.1577,300.35,87,92,5.36,HK,1682317924
2,naantali,60.4674,22.0243,279.22,94,100,4.63,FI,1682317927
3,bredasdorp,-34.5322,20.0403,292.45,85,100,3.44,ZA,1682317927
4,cabo san lucas,22.8909,-109.9124,297.32,55,100,0.45,MX,1682317928
5,benguela,-12.5763,13.4055,300.3,78,95,1.29,AO,1682317928
6,coihaique,-45.5752,-72.0662,283.49,93,0,3.6,CL,1682317928
7,albany,42.6001,-73.9662,278.51,82,94,3.13,US,1682317928
8,busselton,-33.65,115.3333,287.57,67,43,7.73,AU,1682317929
9,calvinia,-31.4707,19.776,289.87,80,100,2.02,ZA,1682317929
10,ushuaia,-54.8,-68.3,279.96,65,100,3.09,AR,1682317929
11,puri,19.8,85.85,306.44,68,84,5.0,IN,1682317929
12,pareora,-44.4871,171.2132,283.81,30,0,5.57,NZ,1682317930
13,ribeira grande,38.5167,-28.7,290.37,88,75,7.2,PT,1682317930
14,najran,17.4924,44.1277,299.51,40,63,1.15,SA,1682317930
15,alice springs,-23.7,133.8833,300.9,26,8,3.09,AU,1682317677
16,yichun,47.7,128.9,283.4,14,50,5.65,CN,1682317931
17,palmer,42.1584,-72.3287,280.62,87,100,1.54,US,1682317931
18,ostersund,63.1792,14.6357,270.98,87,100,1.71,SE,1682317932
19,sao joao da barra,-21.6403,-41.0511,292.2,86,0,4.01,BR,1682317932
20,kahului,20.8947,-156.47,296.95,82,75,1.54,US,1682317932
21,barrow,71.2906,-156.7887,256.16,85,100,3.6,US,1682317932
22,butaritari,3.0707,172.7902,301.46,80,100,8.13,KI,1682317933
23,dunedin,-45.8742,170.5036,284.71,10,40,7.24,NZ,1682317803
24,the valley,18.217,-63.0578,299.07,76,54,2.69,AI,1682317934
25,kuching,1.55,110.3333,302.11,81,40,3.58,MY,1682317704
26,dikson,73.5069,80.5464,274.2,87,97,5.62,RU,1682317934
27,hermanus,-34.4187,19.2345,290.82,91,100,7.26,ZA,1682317935
28,mataura,-46.1927,168.8643,284.53,77,68,3.26,NZ,1682317935
29,tigil,57.8,158.6667,275.06,87,99,0.54,RU,1682317935
30,sao filipe,14.8961,-24.4956,296.38,70,0,5.35,CV,1682317935
31,lorengau,-2.0226,147.2712,302.15,76,26,4.32,PG,1682317936
32,port alfred,-33.5906,26.891,295.58,59,100,3.23,ZA,1682317936
33,rikitea,-23.1203,-134.9692,299.62,88,100,6.96,PF,1682317936
34,east london,-33.0153,27.9116,293.67,73,0,2.06,ZA,1682317936
35,punta arenas,-53.15,-70.9167,278.21,93,100,2.57,CL,1682317937
36,hobart,-42.8794,147.3294,290.52,71,0,1.48,AU,1682317877
37,kalmar,56.6616,16.3616,277.11,100,100,1.54,SE,1682317937
38,siniscola,40.5719,9.6922,289.9,63,97,4.91,IT,1682317937
39,pevek,69.7008,170.3133,268.27,84,2,2.23,RU,1682317937
40,chuy,-33.6971,-53.4616,290.27,95,95,2.38,UY,1682317938
41,rio grande,-32.035,-52.0986,292.51,93,100,4.37,BR,1682317938
42,saldanha,-33.0117,17.9442,290.18,98,100,3.8,ZA,1682317938
43,hithadhoo,-0.6,73.0833,302.52,69,100,2.55,MV,1682317938
44,port elizabeth,-33.918,25.5701,292.65,93,20,2.57,ZA,1682317939
45,atuona,-9.8,-139.0333,300.59,78,8,6.19,PF,1682317939
46,kokopo,-4.352,152.2633,300.94,76,62,0.61,PG,1682317939
47,beyneu,45.3167,55.2,297.46,24,94,7.81,KZ,1682317940
48,plettenberg bay,-34.0527,23.3716,294.15,74,100,1.12,ZA,1682317940
49,coquimbo,-29.9533,-71.3436,288.29,89,1,1.86,CL,1682317940
50,uyuni,-20.4597,-66.825,276.41,29,0,3.88,BO,1682317941
51,biak,-0.9131,122.8766,301.5,73,33,1.78,ID,1682317941
52,lebu,-37.6167,-73.65,283.99,87,3,3.33,CL,1682317943
53,olafsvik,64.8945,-23.7142,276.04,60,100,4.13,IS,1682317943
54,hay river,60.8156,-115.7999,273.14,80,75,4.63,CA,1682317944
55,miracema do tocantins,-9.5618,-48.3967,295.59,82,30,1.05,BR,1682317944
56,salinas,36.6777,-121.6555,285.6,83,100,6.17,US,1682317945
57,talnakh,69.4865,88.3972,275.49,87,19,3.71,RU,1682317945
58,lugovoy,42.9472,72.7644,295.67,32,99,5.96,KZ,1682317946
59,raga,8.4596,25.678,298.35,71,100,5.11,SS,1682317946
60,saint-pierre,-21.3393,55.4781,302.35,65,20,2.57,RE,1682317699
61,comodoro rivadavia,-45.8667,-67.5,284.07,62,0,1.03,AR,1682317948
62,springfield,37.2153,-93.2982,278.65,72,0,2.06,US,1682317760
63,saskylakh,71.9167,114.0833,266.4,88,86,3.11,RU,1682317948
64,bluff,-46.6,168.3333,284.71,65,80,11.23,NZ,1682317948
65,panama city,8.9936,-79.5197,299.12,82,100,2.57,PA,1682317949
66,samarai,-10.6167,150.6667,302.18,74,100,3.92,PG,1682317949
67,tura,25.5198,90.2201,305.41,29,26,1.97,IN,1682317950
68,new norfolk,-42.7826,147.0587,290.32,46,0,1.31,AU,1682317951
69,guerrero negro,27.9769,-114.0611,287.57,86,16,3.75,MX,1682317953
70,goundam,16.4145,-3.6708,301.21,13,3,4.72,ML,1682317953
71,manakara,-22.1333,48.0167,300.29,68,0,1.35,MG,1682317953
72,hobyo,5.3505,48.5268,303.07,67,100,4.52,SO,1682317954
73,vaini,-21.2,-175.2,298.24,88,75,2.57,TO,1682317955
74,provideniya,64.3833,-173.3,262.53,81,5,5.24,RU,1682317955
75,sistranda,63.7256,8.834,275.13,60,100,8.09,NO,1682317956
76,kuito,-12.3833,16.9333,292.12,81,100,0.94,AO,1682317956
77,avarua,-21.2078,-159.775,296.18,78,66,2.06,CK,1682317956
78,acapulco,16.8634,-99.8901,300.05,78,40,2.06,MX,1682317956
79,bonavista,48.6499,-53.1147,274.09,91,100,8.08,CA,1682317957
